[2026-02-23 15:55:20 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='low'
[2026-02-23 16:10:09 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'low', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 16:12:19 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 16:16:27 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
|      river       | 43.06 | 59.72 |
|       road       | 31.83 | 40.63 |
|       rock       | 31.58 | 45.55 |
|       roof       |  4.81 | 28.81 |
|       rug        | 18.45 | 23.84 |
|      salad       | 11.35 | 26.75 |
|       sand       | 44.48 | 55.27 |
|       sea        | 48.58 | 59.85 |
|      shelf       | 14.83 | 17.39 |
|    sky-other     | 45.22 | 54.75 |
|    skyscraper    | 22.51 | 40.35 |
|       snow       | 71.09 |  86.8 |
|   solid-other    |  0.08 |  0.39 |
|      stairs      | 10.98 | 18.15 |
|      stone       |  6.97 | 11.37 |
|      straw       | 15.53 |  20.5 |
| structural-other |  0.17 |  0.36 |
|      table       |  6.74 |  9.49 |
|       tent       |  6.04 | 12.72 |
|  textile-other   |  4.16 |  6.08 |
|      towel       |  9.72 | 43.67 |
|       tree       | 34.31 | 37.72 |
|    vegetable     | 14.52 | 43.51 |
|    wall-brick    | 29.59 | 41.78 |
|  wall-concrete   |  3.35 |  3.43 |
|    wall-other    |  6.35 | 11.84 |
|    wall-panel    |  2.14 |  2.81 |
|    wall-stone    | 24.62 | 37.12 |
|    wall-tile     | 39.99 | 60.03 |
|    wall-wood     | 11.97 | 12.96 |
|   water-other    | 16.47 | 56.18 |
|    waterdrops    |  0.0  |  0.0  |
|   window-blind   | 34.98 | 46.98 |
|   window-other   | 25.87 | 47.14 |
|       wood       |  8.07 | 26.17 |
+------------------+-------+-------+
[2026-02-23 16:45:23 CLIP_DINOiser] (logging.py 102): INFO Summary:
[2026-02-23 16:45:23 CLIP_DINOiser] (logging.py 102): INFO 
+-------+-------+-------+
|  aAcc |  mIoU |  mAcc |
+-------+-------+-------+
| 38.73 | 24.54 | 41.79 |
+-------+-------+-------+
[2026-02-23 16:45:24 CLIP_DINOiser] (feature_experiment_pipeline.py 348): INFO Results saved to noise_pca/high.json
[2026-02-23 20:08:26 CLIP_DINOiser] (feature_experiment_pipeline.py 230): INFO [DataPrep] feature='noise_pca', pool=20000, tier=1000, strategy='mixed'
[2026-02-23 20:22:58 CLIP_DINOiser] (feature_experiment_pipeline.py 300): INFO Training on 1000 images. Selectoin meta: {'seed': 0, 'feature_name': 'noise_pca', 'feature_kwargs': {}, 'pool_n': 20000, 'tier_n': 1000, 'subset_strategy': 'mixed', 'counts': {'pool': 20000, 'low': 1000, 'high': 1000, 'mixed': 1000, 'train': 1000}}
[2026-02-23 20:26:27 CLIP_DINOiser] (feature_experiment_pipeline.py 337): INFO Training finished. Running evaluation...
[2026-02-23 20:33:04 CLIP_DINOiser] (logging.py 102): INFO per class results:
[2026-02-23 20:33:04 CLIP_DINOiser] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 12.73 | 13.37 |
|     bicycle      | 54.26 | 83.76 |
|       car        | 43.38 | 75.95 |
|    motorcycle    | 67.63 |  87.0 |
|     airplane     | 42.08 |  88.5 |
|       bus        | 62.66 | 83.21 |
|      train       | 54.23 | 68.64 |
|      truck       | 37.12 | 46.48 |
|       boat       | 33.15 | 79.79 |
|  traffic light   | 21.38 | 70.42 |
|   fire hydrant   | 54.37 | 81.96 |
|    stop sign     | 61.37 | 91.23 |
|  parking meter   |  26.6 | 34.77 |
|      bench       | 35.99 | 46.42 |
|       bird       | 56.65 |  86.9 |
|       cat        | 70.28 | 88.08 |
